merchant_id,category_name,category_name_new
9723,Bekleidung > Hosen > Leggings,Bekleidung > Damen > Hosen > Leggings,
9723,Bekleidung > Hosen > Stoffhosen,Bekleidung > Damen > Hosen,
9723,Bekleidung > Jacken > Fleecejacken,Bekleidung > Damen > Jacken & Mäntel > Jacken,
9723,Bekleidung > Jacken > Regenjacken,Bekleidung > Damen > Jacken & Mäntel > Jacken,
9723,Bekleidung > Jacken > Softshelljacken,Bekleidung > Damen > Jacken & Mäntel > Jacken,
9723,Bekleidung > Jacken > Übergangsjacken,Bekleidung > Damen > Jacken & Mäntel > Jacken,
9723,Bekleidung > Jacken > Westen,Bekleidung > Damen > Jacken & Mäntel > Jacken,
9723,Bekleidung > Kleider > Festliche Kleider,Bekleidung > Damen > Kleider > Abendkleider,
9723,Bekleidung > Kleider > Jerseykleider,Bekleidung > Damen > Kleider,
9723,Bekleidung > Kleider > Strickkleider,Bekleidung > Damen > Kleider,
9723,Bekleidung > Mäntel > Klassische Mäntel,Bekleidung > Damen > Jacken & Mäntel > Mäntel,
9723,Bekleidung > Mäntel > Parkas,Bekleidung > Damen > Jacken & Mäntel > Jacken,
9723,Bekleidung > Mäntel > Wintermäntel,Bekleidung > Damen > Jacken & Mäntel > Mäntel,
9723,Bekleidung > Pullover & Strickjacken > Pullover,Bekleidung > Damen > Pullover & Strickjacken > Pullover,
9723,Bekleidung > Pullover & Strickjacken > Strickjacken,Bekleidung > Damen > Pullover & Strickjacken > Strickjacken,
9723,Bekleidung > Röcke > Faltenröcke,Bekleidung > Damen > Röcke,
9723,Bekleidung > Röcke > Midiröcke,Bekleidung > Damen > Röcke > Midiröcke,
9723,Bekleidung > Röcke > Miniröcke,Bekleidung > Damen > Röcke > Miniröcke,
9723,Bekleidung > Shirts & Tops > 3/4-Arm-Shirts,Bekleidung > Damen > T-Shirts & Blusen > T-Shirts,
9723,Bekleidung > Shirts & Tops > Langarmshirts,Bekleidung > Damen > T-Shirts & Blusen > T-Shirts,
9723,Bekleidung > Shirts & Tops > Poloshirts,Bekleidung > Damen > T-Shirts & Blusen > T-Shirts,
9723,Bekleidung > Shirts & Tops > T-Shirts,Bekleidung > Damen > T-Shirts & Blusen > T-Shirts,
9723,Bekleidung > Shirts & Tops > Tops,Bekleidung > Damen > T-Shirts & Blusen > T-Shirts,
9723,Bekleidung > Socken & Strümpfe > Socken,Accessoires > Damen > Strümpfe & Strumpfhosen,
9723,Bekleidung > Sweatshirts & -jacken > Kapuzenpullover,Bekleidung > Damen > Pullover & Strickjacken > Pullover > Kapuzenpullover,
9723,Bekleidung > Sweatshirts & -jacken > Sweatjacken,Bekleidung > Damen > Jacken & Mäntel > Jacken,
9723,Bekleidung > Sweatshirts & -jacken > Sweatshirts,Bekleidung > Damen > Pullover & Strickjacken > Pullover > Sweatshirts,
9723,Schuhe > Ballerinas > Klassische Ballerinas,Schuhe > Damen > Ballerinas,
9723,Schuhe > Ballerinas > Riemchenballerinas,Schuhe > Damen > Ballerinas,
9723,Schuhe > Halbschuhe > Klassische Halbschuhe,Schuhe > Damen > Halbschuhe,
9723,Schuhe > Halbschuhe > Schnürschuhe,Schuhe > Damen > Schnürschuhe,
9723,Schuhe > Halbschuhe > Segelschuhe & Bootsschuhe,Schuhe > Damen,
9723,Schuhe > Pumps > Keilpumps,Schuhe > Damen > Pumps,
9723,Schuhe > Pumps > Klassische Pumps,Schuhe > Damen > Pumps,
9723,Schuhe > Pumps > Komfort-Pumps,Schuhe > Damen > Pumps,
9723,Schuhe > Pumps > Sling-Pumps,Schuhe > Damen > Pumps,
9723,Schuhe > Sandaletten > Keilsandaletten,Schuhe > Damen > Sandalen,
9723,Schuhe > Sandaletten > Klassische Sandaletten,Schuhe > Damen > Sandalen,
9723,Schuhe > Slipper > Komfort-Slipper,Schuhe > Damen > Slipper,
9723,Schuhe > Sneakers > Slip-On-Sneakers,Schuhe > Damen > Sneaker,
9723,Schuhe > Sneakers > Sneakers Low,Schuhe > Damen > Sneaker,
9723,Schuhe > Stiefel > Klassische Stiefel,Schuhe > Damen > Stiefel,
9723,Schuhe > Stiefeletten > Schnürstiefeletten,Schuhe > Damen > Stiefeletten,
9723,Schuhe > Stiefeletten > Winterstiefeletten,Schuhe > Damen > Stiefeletten,
9723,Taschen > Clutches & Abendtaschen,Accessoires > Damen > Taschen > Clutches,
9723,Taschen > Handtaschen,Accessoires > Damen > Taschen > Handtaschen,
9723,Taschen > Shopper,Accessoires > Damen > Taschen > Shopper,
9723,Oxfords,Schuhe > Herren > Halbschuhe,
9723,Halbschuhe,Schuhe > Herren > Halbschuhe,
9723,Accessoires > Caps,Accessoires > Herren > Hüte/Mützen > Mützen,
